SampleID2,SampleID,pH_Soil,pH_Buffer,Soluble_Salts,Lime,Texture,OM,Nitrate,lbs,Phosphorus,Potassium,Sulfate,Zinc,Iron,Manganese,Copper,Calcium,Magnesium,Sodium,CEC,H_Sat,K_Sat,Ca_Sat,Mg_Sat,Na_Sat,
MCL 1-2,MCL_1_2,6.3,6.7,0.07,NONE,2,4.8,0.6,1,24.2,269,5.6,1.19,35.6,19.8,0.93,1684,209,3,14.1,23,5,60,12,0,
MCL 3-1,MCL_3_1,6.9,7.2,0.19,NONE,2,5.1,2.4,4,4.2,177,2.8,1.65,36.8,22.1,3.63,2887,1653,25,28.8,0,2,50,48,0,
MCL 3-2,MCL_3_2,6.7,7.2,0.18,NONE,2,5.2,0.8,1,7.1,189,7.3,2.36,41.9,25.4,3.45,2913,1445,25,27.2,0,2,54,44,0,
MCL 5-1,MCL_5_1,6.3,6.8,0.05,NONE,2,2.9,0.5,1,6.7,107,3.8,1.15,43.4,30.3,1.41,1246,305,14,11.5,21,2,54,22,1,
MCL 5-2,MCL_5_2,6.3,6.8,0.07,NONE,2,3.3,0.3,1,12.2,137,4.9,1.35,44.7,31.5,1.41,1239,245,3,11,22,3,56,19,0,
MCL 6-1,MCL_6_1,6.8,7.2,0.14,NONE,2,5.6,1.5,3,22.8,385,3.9,2.08,25.6,32.1,2.66,3445,543,4,22.8,0,4,76,20,0,
MCL 6-2,MCL_6_2,6.6,7.2,0.14,NONE,2,5.4,1.6,3,31.1,390,7.9,3.56,25.4,36.4,3.15,3569,738,5,25,0,4,71,25,0,
QR 1-1,QR_1_1,6.7,7.2,0.2,NONE,2,8,11.1,20,7.5,389,4.3,3.42,27.5,29.6,1.55,3014,559,5,20.7,0,5,73,22,0,
QR 1-2,QR_1_2,6.4,6.8,0.15,NONE,2,10.7,0.7,1,5.4,431,9.5,3.38,21.4,22.8,1.38,2814,574,8,21.5,7,5,65,22,0,
QR 2-2,QR_2_2,5.6,6.3,0.11,NONE,2,6.8,0.4,1,6.3,256,8.3,3.86,79.7,34.1,2.17,2046,587,14,23.2,32,3,44,21,0,
SCC 1-1,SCC_1_1,6.8,7.2,0.09,NONE,2,2.7,0.8,1,16.2,304,4.9,1.92,23.8,15.6,1.14,2359,308,3,15.2,0,5,78,17,0,
SCC 1-2,SCC_1_2,6.8,7.2,0.11,NONE,2,3.7,1.3,2,30.6,316,1.7,2,31.3,13.5,1.25,2349,398,4,15.9,0,5,74,21,0,
SCC 2-1,SCC_2_1,7.2,7.2,0.25,NONE,2,3.8,0.8,1,4.4,139,8.3,1.31,33.7,26.7,1.78,2581,863,79,20.8,0,2,61,35,2,
SCC 2-2,SCC_2_2,6.6,7.2,0.1,NONE,2,3.4,0.6,1,16.8,252,2.3,1.56,42.6,26.8,1.91,2440,859,16,20.1,0,3,61,36,0,
